Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1, 26, 9.173875952943773, 4.0, 6.0
2, rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2, 27, 9.744742172063868, 12.0, 13.0
3, rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2, 16, 5.830951894845301, 6.0, 9.0
4, r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3, 16, 6.493073232299171, 1.0, 10.0
5, r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3, 18, 8.221921916437786, 3.0, 17.0
6, r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4, 11, 3.7202150475476548, 3.0, 3.0
7, r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4, 33, 11.815244390193543, 6.0, 10.0
8, r1bqkb1r/pp1pnppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5, 11, 3.9293765408777, 3.0, 5.0
9, r1bqkb1r/pp1pnppp/2n1p3/1Bp5/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq d3 0 5, 88, 30.776614498674153, 16.0, 24.0
10, r1bqkb1r/pp1pnppp/2n1p3/1B6/3pP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 6, 35, 13.166624472506232, 11.0, 20.0
11, r1bqkb1r/pp1pnppp/2n1p3/1B6/3NP3/8/PPP2PPP/RNBQ1RK1 b kq - 0 6, 26, 11.081516141756055, 9.0, 23.0
12, r1b1kb1r/pp1pnppp/1qn1p3/1B6/3NP3/8/PPP2PPP/RNBQ1RK1 w kq - 1 7, 269, 119.4112222531869, 29.0, 228.0
13, r1b1kb1r/pp1pnppp/1qn1p3/1B6/3NP3/4B3/PPP2PPP/RN1Q1RK1 b kq - 2 7, 264, 84.23301015635141, 13.0, 21.0
14, r1b1kb1r/pp1pnppp/1q2p3/1B6/3nP3/4B3/PPP2PPP/RN1Q1RK1 w kq - 0 8, 210, 88.56952071677932, 42.0, 170.0
15, r1b1kb1r/pp1pnppp/1q2p3/1B6/P2nP3/4B3/1PP2PPP/RN1Q1RK1 b kq a3 0 8, 95, 37.92940811560339, 24.0, 68.0
16, r1b1kb1r/pp1pnppp/1q2p3/1n6/P3P3/4B3/1PP2PPP/RN1Q1RK1 w kq - 0 9, 537, 207.17625346549735, 19.0, 57.0
17, r1b1kb1r/pp1pnppp/1B2p3/1n6/P3P3/8/1PP2PPP/RN1Q1RK1 b kq - 0 9, 523, 192.6437125888099, 58.0, 137.0
18, r1b1kb1r/1p1pnppp/1p2p3/1n6/P3P3/8/1PP2PPP/RN1Q1RK1 w kq - 0 10, 82, 30.35786553761644, 10.0, 27.0
19, r1b1kb1r/1p1pnppp/1p2p3/1n6/P3P3/8/1PPN1PPP/R2Q1RK1 b kq - 1 10, 378, 137.15626124971473, 160.0, 194.0
20, r1b1kb1r/1p1pnppp/1p1np3/8/P3P3/8/1PPN1PPP/R2Q1RK1 w kq - 2 11, 37, 12.049896265113654, 5.0, 9.0
21, r1b1kb1r/1p1pnppp/1p1np3/4P3/P7/8/1PPN1PPP/R2Q1RK1 b kq - 0 11, 472, 172.464952961464, 53.0, 72.0
22, r1b1kb1r/1p1pnppp/1p2p3/4Pn2/P7/8/1PPN1PPP/R2Q1RK1 w kq - 1 12, 22, 7.402702209328699, 4.0, 8.0
23, r1b1kb1r/1p1pnppp/1p2p3/4Pn2/P3N3/8/1PP2PPP/R2Q1RK1 b kq - 2 12, 136, 51.616276502669194, 53.0, 89.0
24, r1b1kb1r/1p1p1ppp/1pn1p3/4Pn2/P3N3/8/1PP2PPP/R2Q1RK1 w kq - 3 13, 121, 43.54951205237551, 29.0, 57.0
25, r1b1kb1r/1p1p1ppp/1pn1p3/4Pn2/P3N1P1/8/1PP2P1P/R2Q1RK1 b kq g3 0 13, 378, 139.00129495799672, 122.0, 205.0
26, r1b1kb1r/1p1p1ppp/1pn1p3/4P3/P3N1Pn/8/1PP2P1P/R2Q1RK1 w kq - 1 14, 131, 53.16916399568456, 48.0, 103.0
27, r1b1kb1r/1p1p1ppp/1pn1p3/4P3/P3NPPn/8/1PP4P/R2Q1RK1 b kq f3 0 14, 162, 53.57760726273617, 37.0, 47.0
28, r1b1kb1r/1p1p1pp1/1pn1p3/4P2p/P3NPPn/8/1PP4P/R2Q1RK1 w kq h6 0 15, 104, 42.30082741507546, 41.0, 80.0
29, r1b1kb1r/1p1p1pp1/1pn1p3/4P2p/P3NPPn/7P/1PP5/R2Q1RK1 b kq - 0 15, 47, 18.73392644375439, 5.0, 29.0
30, r1b1kb1r/1p1p1pp1/1pn1p3/4P3/P3NPpn/7P/1PP5/R2Q1RK1 w kq - 0 16, 156, 57.03332359244024, 25.0, 42.0
31, r1b1kb1r/1p1p1pp1/1pn1p3/4P3/P3NPPn/8/1PP5/R2Q1RK1 b kq - 0 16, 43, 16.497272501841024, 18.0, 26.0
32, r1b1kb1r/1p3pp1/1pn1p3/3pP3/P3NPPn/8/1PP5/R2Q1RK1 w kq d6 0 17, 402, 154.09737181405788, 84.0, 238.0
33, r1b1kb1r/1p3pp1/1pnPp3/8/P3NPPn/8/1PP5/R2Q1RK1 b kq - 0 17, 143, 46.770075903295265, 22.0, 35.0
34, 2b1kb1r/1p3pp1/1pnPp3/r7/P3NPPn/8/1PP5/R2Q1RK1 w k - 1 18, 100, 33.01757107965394, 7.0, 7.0
35, 2b1kb1r/1p3pp1/1pnPp3/r7/P1P1NPPn/8/1P6/R2Q1RK1 b k c3 0 18, 177, 60.81249871531346, 52.0, 62.0
36, 2b1kb1r/1p4p1/1pnPp3/r4p2/P1P1NPPn/8/1P6/R2Q1RK1 w k f6 0 19, 175, 63.85420894506485, 72.0, 93.0
37, 2b1kb1r/1p4p1/1pnPp3/r4p2/PPP1NPPn/8/8/R2Q1RK1 b k b3 0 19, 204, 66.38493805073557, 32.0, 45.0
38, 2b1kb1r/1p4p1/1p1Pp3/r4p2/PnP1NPPn/8/8/R2Q1RK1 w k - 0 20, 179, 59.36530973556863, 49.0, 49.0
39, 2b1kb1r/1p1P2p1/1p2p3/r4p2/PnP1NPPn/8/8/R2Q1RK1 b k - 0 20, 15300, 6206.455847542944, 2078.5, 6734.25
40, 4kb1r/1p1b2p1/1p2p3/r4p2/PnP1NPPn/8/8/R2Q1RK1 w k - 0 21, 546, 207.49072268417208, 35.0, 59.0
41, 4kb1r/1p1b2p1/1p1Np3/r4p2/PnP2PPn/8/8/R2Q1RK1 b k - 1 21, 165, 77.78174593052023, 0.0, 82.5
42, 4k2r/1p1b2p1/1p1bp3/r4p2/PnP2PPn/8/8/R2Q1RK1 w k - 0 22, 825, 298.0154358418369, 33.0, 45.0
43, 4k2r/1p1b2p1/1p1Qp3/r4p2/PnP2PPn/8/8/R4RK1 b k - 0 22, 460, 166.10791672885432, 167.0, 204.0
44, 4k2r/1p1b2p1/1pnQp3/r4p2/P1P2PPn/8/8/R4RK1 w k - 1 23, 160, 59.45216564600486, 21.0, 44.0
45, 4k2r/1p1b2p1/1pnQp3/r4p2/P1P2PPn/8/8/3R1RK1 b k - 2 23, 745, 283.4985714249721, 7.0, 10.0
46, 2b1k2r/1p4p1/1pnQp3/r4p2/P1P2PPn/8/8/3R1RK1 w k - 3 24, 126, 55.87486017879597, 19.0, 109.0
47, 2b1k2r/1p4p1/1pnQp3/r4pP1/P1P2P1n/8/8/3R1RK1 b k - 0 24, 59, 20.620378270051205, 19.0, 27.0
48, 2b1k2r/1p4p1/1pnQp1n1/r4pP1/P1P2P2/8/8/3R1RK1 w k - 1 25, 90, 32.51461209979292, 7.0, 7.0
49, 2b1k2r/1p4p1/1pnQp1n1/r4pP1/P1P2P2/8/5R2/3R2K1 b k - 2 25, 76, 30.62286727267713, 32.0, 59.0
50, 2b4r/1p3kp1/1pnQp1n1/r4pP1/P1P2P2/8/5R2/3R2K1 w - - 3 26, 53, 19.993999099729898, 14.0, 31.0
51, 2b4r/1pQ2kp1/1pn1p1n1/r4pP1/P1P2P2/8/5R2/3R2K1 b - - 4 26, 1054, 427.91055140064026, 275.0, 789.0
52, 2b4r/1pQ1nkp1/1p2p1n1/r4pP1/P1P2P2/8/5R2/3R2K1 w - - 5 27, 99, 35.391524409101116, 27.0, 42.0
53, 2bR3r/1pQ1nkp1/1p2p1n1/r4pP1/P1P2P2/8/5R2/6K1 b - - 6 27, 127, 54.046646519465014, 58.0, 114.0
54, 2br4/1pQ1nkp1/1p2p1n1/r4pP1/P1P2P2/8/5R2/6K1 w - - 0 28, 409, 160.6773163828672, 5.0, 18.0
55, 2bQ4/1p2nkp1/1p2p1n1/r4pP1/P1P2P2/8/5R2/6K1 b - - 0 28, 83, 31.694794525284433, 33.0, 55.0
56, 2bQ4/1p2nkp1/1p2p1n1/5pP1/r1P2P2/8/5R2/6K1 w - - 0 29, 176, 60.08993260106055, 42.0, 70.0
57, 2b5/1pQ1nkp1/1p2p1n1/5pP1/r1P2P2/8/5R2/6K1 b - - 1 29, 56, 20.98952119511067, 6.0, 20.0
58, 2b5/1pQ1nkp1/1p4n1/4ppP1/r1P2P2/8/5R2/6K1 w - - 0 30, 91, 30.374989711932415, 7.0, 11.0
59, 2b5/1pQ1nkp1/1p4n1/4PpP1/r1P5/8/5R2/6K1 b - - 0 30, 40, 13.746272221951665, 11.0, 16.0
60, 8/1pQ1nkp1/1p2b1n1/4PpP1/r1P5/8/5R2/6K1 w - - 1 31, 90, 29.96931764321637, 20.0, 23.0
61, 8/1Q2nkp1/1p2b1n1/4PpP1/r1P5/8/5R2/6K1 b - - 0 31, 74, 28.253141418256483, 23.0, 46.0
62, 8/1Q2nkp1/1p2b1n1/4PpP1/2r5/8/5R2/6K1 w - - 0 32, 66, 27.254357449773053, 5.0, 45.0
63, 8/4nkp1/1Q2b1n1/4PpP1/2r5/8/5R2/6K1 b - - 0 32, 29, 10.552724766618335, 3.0, 8.0
64, 8/4nkp1/1Q2b3/4npP1/2r5/8/5R2/6K1 w - - 0 33, 102, 37.05671329192593, 40.0, 50.0
65, 8/4nkp1/1Q2b3/4npP1/2r5/8/4R3/6K1 b - - 1 33, 106, 37.37378760575385, 17.0, 32.0
66, 8/4nkp1/1Qr1b3/4npP1/8/8/4R3/6K1 w - - 2 34, 128, 45.67012152381467, 3.0, 6.0
67, 8/4nkp1/2r1b3/4npP1/8/4Q3/4R3/6K1 b - - 3 34, 177, 59.74278199079785, 45.0, 46.0
68, 8/4nkp1/2r1b1n1/5pP1/8/4Q3/4R3/6K1 w - - 4 35, 38, 13.705473359209451, 6.0, 12.0
69, 8/4nkp1/2r1b1n1/5pP1/8/4Q3/4R2K/8 b - - 5 35, 63, 20.00399960007998, 4.0, 4.0
70, 8/4nkp1/2r3n1/5pP1/2b5/4Q3/4R2K/8 w - - 6 36, 62, 21.397196077991154, 12.0, 19.0
71, 8/4nkp1/2r3n1/5pP1/2b5/4Q3/1R5K/8 b - - 7 36, 80, 28.436596139481956, 23.0, 29.0
72, 8/4nkp1/4r1n1/5pP1/2b5/4Q3/1R5K/8 w - - 8 37, 51, 17.451647486698786, 15.0, 20.0
73, 8/4nkp1/4r1n1/5pP1/2b5/5Q2/1R5K/8 b - - 9 37, 108, 38.2747958844982, 15.0, 18.0
74, 8/4nkp1/6n1/5pP1/2b1r3/5Q2/1R5K/8 w - - 10 38, 97, 39.438052690263504, 18.0, 70.0
75, 8/1R2nkp1/6n1/5pP1/2b1r3/5Q2/7K/8 b - - 11 38, 12, 5.176871642217914, 5.0, 11.0
76, 8/1R2nkp1/4b1n1/5pP1/4r3/5Q2/7K/8 w - - 12 39, 35, 13.25745073534124, 2.0, 5.0
77, 8/1R2nkp1/4b1n1/5pP1/4r3/5Q2/8/6K1 b - - 13 39, 36, 12.142487389328432, 4.0, 7.0
78, 8/1R2nkp1/4b1n1/5pP1/6r1/5Q2/8/6K1 w - - 14 40, 274, 101.72118756679947, 44.0, 127.0
79, 8/1R2nkp1/4b1n1/5pP1/6r1/5Q2/7K/8 b - - 15 40, 38, 16.572265988693278, 2.0, 30.0
80, 8/1R2nkp1/4b1n1/5pr1/8/5Q2/7K/8 w - - 0 41, 42, 16.01998751560063, 15.0, 28.0
81, 8/4nkp1/1R2b1n1/5pr1/8/5Q2/7K/8 b - - 1 41, 135, 46.99361658778775, 46.0, 54.0
82, 8/4nkp1/1R4n1/3b1pr1/8/5Q2/7K/8 w - - 2 42, 159, 51.59224747963593, 26.0, 34.0
83, 8/4nkp1/1R4n1/3b1pr1/8/4Q3/7K/8 b - - 3 42, 184, 65.08947687606654, 51.0, 92.0
84, 8/4nkp1/1R4n1/3b1p2/8/4Q3/6rK/8 w - - 4 43, 3748, 1874.0, 1874.0, 1874.0
85, 8/4nkp1/1R4n1/3b1p2/8/4Q2K/6r1/8 b - - 5 43, 117, 40.79901959606383, 19.0, 29.0
86, 8/4nkp1/1R4n1/3b1p2/6r1/4Q2K/8/8 w - - 6 44, 415, 156.76147485909922, 92.0, 235.0
87, 8/4nkp1/1R4n1/3b1p2/6r1/4Q3/7K/8 b - - 7 44, 78, 28.081310510729374, 29.0, 38.0
88, 8/4nkp1/1R4n1/3b4/5pr1/4Q3/7K/8 w - - 0 45, 346, 138.56031177794023, 71.0, 237.0
89, 8/4nkp1/1R4n1/3b4/3Q1pr1/8/7K/8 b - - 1 45, 315, 117.88299283611694, 26.0, 66.0
90, 8/4nkp1/1R4n1/3b2r1/3Q1p2/8/7K/8 w - - 2 46, 106, 35.02227862375605, 12.0, 15.0
91, 8/4nkp1/3R2n1/3b2r1/3Q1p2/8/7K/8 b - - 3 46, 100, 38.389581920099104, 26.0, 63.0
92, 8/4nkp1/3R2n1/3b2r1/3Q4/5p2/7K/8 w - - 0 47, 81, 33.69629059703753, 37.0, 69.0
93, 8/3Rnkp1/6n1/3b2r1/3Q4/5p2/7K/8 b - - 1 47, 96, 41.842562063047716, 27.0, 87.0
94, 8/3Rnkp1/6n1/3b1r2/3Q4/5p2/7K/8 w - - 2 48, 67, 23.08592644881292, 12.0, 18.0
95, 8/3Rnkp1/6n1/3b1r2/6Q1/5p2/7K/8 b - - 3 48, 206, 77.70559825392247, 63.0, 116.0
96, 8/3Rnkp1/4b1n1/5r2/6Q1/5p2/7K/8 w - - 4 49, 356, 127.43563081022513, 107.0, 147.0
97, 8/4nkp1/4b1n1/5r2/6Q1/5p2/7K/3R4 b - - 5 49, 115, 48.541116592019186, 0.0, 77.0
98, 8/4nkp1/4b3/4nr2/6Q1/5p2/7K/3R4 w - - 6 50, 7, 2.227105745132009, 0.0, 0.0
99, 8/4nkp1/4b3/4nr2/7Q/5p2/7K/3R4 b - - 7 50, 90, 28.888752136428458, 11.0, 12.0
100, 8/4nkp1/4b3/4nr2/7Q/8/5p1K/3R4 w - - 0 51, 1, 0.4000000000000001, 0.0, 0.0
101, 8/4nkp1/4b3/4nr2/7Q/8/5pK1/3R4 b - - 1 51, 72, 26.366645596283195, 24.0, 29.0
102, 8/4nkp1/8/3bnr2/7Q/8/5pK1/3R4 w - - 2 52, 14637, 6210.011239925416, 3544.0, 11560.0
103, 8/4nkp1/8/3bnr2/7Q/8/5p2/3R1K2 b - - 3 52, 60, 22.47665455533808, 13.0, 30.0
104, 8/4nkp1/8/4nr2/2b4Q/8/5p2/3R1K2 w - - 4 53, 14635, 6243.394927619286, 3474.0, 7317.5
105, 8/4nkp1/8/4nr2/2b4Q/8/5pK1/3R4 b - - 5 53, 129, 42.23458298598436, 15.0, 20.0
106, 8/4nkp1/8/4nr2/2b4Q/8/6K1/3R1q2 w - - 0 54, 14623, 6893.348307527256, 0.0, 7311.5
