Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3 0 1, 34, 11.956588142108098, 3.0, 4.0
2, rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2, 27, 9.549869109050658, 6.0, 6.0
3, rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3 0 2, 31, 13.26046756340062, 6.0, 26.0
4, rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3, 36, 12.009995836801943, 6.0, 12.0
5, rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3, 18, 6.723094525588644, 5.0, 10.0
6, rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq d6 0 4, 29, 10.099504938362077, 8.0, 11.0
7, rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4, 6, 2.280350850198276, 1.0, 3.0
8, rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5, 6, 2.7129319932501073, 2.0, 6.0
9, rnbqk2r/ppp2ppp/4pn2/3P4/1b1P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5, 68, 24.30144028653446, 21.0, 21.0
10, rnbqk2r/ppp2ppp/5n2/3p4/1b1P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6, 33, 11.53082824431966, 8.0, 12.0
11, rnbqk2r/ppp2ppp/5n2/3p2B1/1b1P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 6, 26, 9.178235124467012, 6.0, 11.0
12, r1bqk2r/pppn1ppp/5n2/3p2B1/1b1P4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 7, 27, 10.998181667894016, 3.0, 18.0
13, r1bqk2r/pppn1ppp/5n2/3p2B1/1b1P4/2N2N2/PP2PPPP/2RQKB1R b Kkq - 3 7, 30, 10.537551897855593, 5.0, 9.0
14, r1bqk2r/pppn1pp1/5n1p/3p2B1/1b1P4/2N2N2/PP2PPPP/2RQKB1R w Kkq - 0 8, 70, 26.41514716975849, 12.0, 37.0
15, r1bqk2r/pppn1pp1/5n1p/3p4/1b1P3B/2N2N2/PP2PPPP/2RQKB1R b Kkq - 1 8, 13, 5.0039984012787215, 5.0, 9.0
16, r1bqk2r/pppn1p2/5n1p/3p2p1/1b1P3B/2N2N2/PP2PPPP/2RQKB1R w Kkq g6 0 9, 332, 120.74005134999736, 35.0, 46.0
17, r1bqk2r/pppn1p2/5n1p/3p2p1/1b1P4/2N2NB1/PP2PPPP/2RQKB1R b Kkq - 1 9, 75, 25.899806949087477, 21.0, 30.0
18, r1bqk2r/pppn1p2/7p/3p2p1/1b1Pn3/2N2NB1/PP2PPPP/2RQKB1R w Kkq - 2 10, 76, 27.75319801392265, 32.0, 34.0
19, r1bqk2r/pppn1p2/7p/3p2p1/1b1Pn3/1QN2NB1/PP2PPPP/2R1KB1R b Kkq - 3 10, 109, 38.77834447214063, 42.0, 50.0
20, r1bqk2r/pppn1p2/7p/3p2p1/3Pn3/1Qb2NB1/PP2PPPP/2R1KB1R w Kkq - 0 11, 706, 270.7293851801093, 284.0, 470.0
21, r1bqk2r/pppn1p2/7p/3p2p1/3Pn3/1QP2NB1/P3PPPP/2R1KB1R b Kkq - 0 11, 81, 30.669854906732116, 34.0, 52.0
22, r1bqk2r/ppp2p2/1n5p/3p2p1/3Pn3/1QP2NB1/P3PPPP/2R1KB1R w Kkq - 1 12, 81, 33.559499400318835, 40.0, 68.0
23, r1bqk2r/ppp2p2/1n5p/3p2p1/3Pn3/1QP1PNB1/P4PPP/2R1KB1R b Kkq - 0 12, 62, 22.7508241608958, 3.0, 5.0
24, r1bqk2r/ppp2p2/1n6/3p2pp/3Pn3/1QP1PNB1/P4PPP/2R1KB1R w Kkq - 0 13, 100, 38.09671901883415, 26.0, 59.0
25, r1bqk2r/ppp2p2/1n6/3p2pp/2PPn3/1Q2PNB1/P4PPP/2R1KB1R b Kkq - 0 13, 136, 49.87825177369391, 28.0, 65.0
26, r1bqk2r/ppp2p2/1n6/3p2p1/2PPn2p/1Q2PNB1/P4PPP/2R1KB1R w Kkq - 0 14, 307, 112.57424216933464, 26.0, 36.0
27, r1bqk2r/ppp2p2/1n6/3pB1p1/2PPn2p/1Q2PN2/P4PPP/2R1KB1R b Kkq - 1 14, 202, 69.26355463012275, 8.0, 13.0
28, r1bqk2r/ppp5/1n3p2/3pB1p1/2PPn2p/1Q2PN2/P4PPP/2R1KB1R w Kkq - 0 15, 153, 52.77878361614636, 42.0, 52.0
29, r1bqk2r/ppp5/1n3p2/3PB1p1/3Pn2p/1Q2PN2/P4PPP/2R1KB1R b Kkq - 0 15, 225, 79.54470441204745, 30.0, 38.0
30, r1bqk2r/ppp5/1n6/3Pp1p1/3Pn2p/1Q2PN2/P4PPP/2R1KB1R w Kkq - 0 16, 123, 49.09175083453431, 21.0, 82.0
31, r1bqk2r/ppp5/1n6/1B1Pp1p1/3Pn2p/1Q2PN2/P4PPP/2R1K2R b Kkq - 1 16, 224, 75.54495350451941, 65.0, 72.0
32, r1bq1k1r/ppp5/1n6/1B1Pp1p1/3Pn2p/1Q2PN2/P4PPP/2R1K2R w K - 2 17, 141, 53.484203275359725, 27.0, 75.0
33, r1bq1k1r/ppp5/1n6/1B1PN1p1/3Pn2p/1Q2P3/P4PPP/2R1K2R b K - 0 17, 109, 41.45648320829928, 4.0, 18.0
34, r1bq3r/ppp3k1/1n6/1B1PN1p1/3Pn2p/1Q2P3/P4PPP/2R1K2R w K - 1 18, 79, 32.357997465850694, 33.0, 64.0
35, r1bq3r/ppp3k1/1n6/3PN1p1/3Pn2p/1Q1BP3/P4PPP/2R1K2R b K - 2 18, 269, 102.78209960883267, 31.0, 128.0
36, r1bq3r/ppp3k1/1n1n4/3PN1p1/3P3p/1Q1BP3/P4PPP/2R1K2R w K - 3 19, 54, 17.431006855600742, 6.0, 9.0
37, r1bq3r/ppp3k1/1n1n4/3PN1p1/3P3p/1Q1BP3/P4PPP/2R2RK1 b - - 4 19, 80, 28.583911558777256, 33.0, 34.0
38, r1bq3r/ppp3k1/1n1n4/3PN3/3P2pp/1Q1BP3/P4PPP/2R2RK1 w - - 0 20, 73, 28.265880492211807, 21.0, 46.0
