Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1, 15, 5.043808085167396, 4.0, 4.0
2, rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2, 25, 8.17312669668102, 4.0, 5.0
3, rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2, 17, 6.260990336999411, 6.0, 10.0
4, rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3, 22, 7.0710678118654755, 2.0, 3.0
5, rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 3, 69, 25.048752463945185, 19.0, 21.0
6, rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4, 57, 20.915066339842195, 6.0, 16.0
7, rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4, 26, 8.930845424706442, 8.0, 10.0
8, r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5, 24, 8.648699324175862, 3.0, 7.0
9, r1bqkbnr/pp1p1ppp/2n1p3/1N6/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 2 5, 105, 39.156097864828155, 26.0, 52.0
10, r1bqkbnr/pp3ppp/2npp3/1N6/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6, 45, 16.451139778143034, 8.0, 11.0
11, r1bqkbnr/pp3ppp/2npp3/1N6/2P1P3/8/PP3PPP/RNBQKB1R b KQkq c3 0 6, 26, 10.067770358922575, 7.0, 17.0
12, r1bqkb1r/pp3ppp/2nppn2/1N6/2P1P3/8/PP3PPP/RNBQKB1R w KQkq - 1 7, 60, 21.7476435505091, 8.0, 19.0
13, r1bqkb1r/pp3ppp/2nppn2/1N6/2P1P3/2N5/PP3PPP/R1BQKB1R b KQkq - 2 7, 53, 18.937792902025304, 22.0, 23.0
14, r1bqkb1r/1p3ppp/p1nppn2/1N6/2P1P3/2N5/PP3PPP/R1BQKB1R w KQkq - 0 8, 266, 110.76100396800311, 78.0, 207.0
15, r1bqkb1r/1p3ppp/p1nppn2/8/2P1P3/N1N5/PP3PPP/R1BQKB1R b KQkq - 1 8, 21, 8.593020423576334, 8.0, 17.0
16, r1bqkb1r/1p3ppp/p1n1pn2/3p4/2P1P3/N1N5/PP3PPP/R1BQKB1R w KQkq - 0 9, 265, 110.7176589347878, 90.0, 222.0
17, r1bqkb1r/1p3ppp/p1n1pn2/3P4/4P3/N1N5/PP3PPP/R1BQKB1R b KQkq - 0 9, 83, 33.5654584357193, 28.0, 64.0
18, r1bqkb1r/1p3ppp/p1n2n2/3p4/4P3/N1N5/PP3PPP/R1BQKB1R w KQkq - 0 10, 216, 80.2829994457108, 99.0, 116.0
19, r1bqkb1r/1p3ppp/p1n2n2/3P4/8/N1N5/PP3PPP/R1BQKB1R b KQkq - 0 10, 94, 32.39382657235789, 22.0, 40.0
20, r1bqkb1r/1p3ppp/p4n2/3P4/1n6/N1N5/PP3PPP/R1BQKB1R w KQkq - 1 11, 51, 19.849433241279208, 13.0, 33.0
21, r1bqkb1r/1p3ppp/p4n2/3P4/1n6/N1N5/PP2BPPP/R1BQK2R b KQkq - 2 11, 70, 25.763540129415446, 17.0, 36.0
22, r1bqk2r/1p3ppp/p4n2/2bP4/1n6/N1N5/PP2BPPP/R1BQK2R w KQkq - 3 12, 56, 18.618270596379247, 13.0, 14.0
23, r1bqk2r/1p3ppp/p4n2/2bP4/1n6/N1N5/PP2BPPP/R1BQ1RK1 b kq - 4 12, 181, 73.83603456307767, 31.0, 129.0
