Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1, 26, 9.350935782048769, 9.0, 10.0
2, rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2, 42, 13.407460609675494, 5.0, 5.0
3, rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 2, 19, 7.110555533852471, 6.0, 12.0
4, rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3, 35, 13.948476619330155, 2.0, 20.0
5, rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3, 43, 15.714961024450552, 10.0, 21.0
6, rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4, 28, 10.353743284435827, 9.0, 15.0
7, rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq - 1 4, 26, 9.516301802696255, 8.0, 14.0
8, rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq - 2 5, 29, 11.906300852909775, 3.0, 20.0
9, rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR b KQkq - 3 5, 37, 12.221292893961753, 7.0, 11.0
10, rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq - 0 6, 36, 15.239422561238992, 7.0, 29.0
11, rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/2N1BP2/PPPQ2PP/R3KBNR b KQkq - 0 6, 34, 12.734205903785284, 12.0, 21.0
12, rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/2N1BP2/PPPQ2PP/R3KBNR w KQkq b6 0 7, 19, 6.493073232299171, 6.0, 7.0
13, rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/2N1BP2/PPPQN1PP/R3KB1R b KQkq - 1 7, 21, 7.059745037889116, 4.0, 5.0
14, r1bqk2r/p2nppbp/2pp1np1/1p6/3PP3/2N1BP2/PPPQN1PP/R3KB1R w KQkq - 2 8, 30, 10.461357464497617, 8.0, 12.0
15, r1bqk2r/p2nppbp/2pp1npB/1p6/3PP3/2N2P2/PPPQN1PP/R3KB1R b KQkq - 3 8, 87, 31.702365842315302, 13.0, 23.0
16, r1bqk2r/p2npp1p/2pp1npb/1p6/3PP3/2N2P2/PPPQN1PP/R3KB1R w KQkq - 0 9, 676, 257.9395277967299, 55.0, 57.0
17, r1bqk2r/p2npp1p/2pp1npQ/1p6/3PP3/2N2P2/PPP1N1PP/R3KB1R b KQkq - 0 9, 28, 9.911609354691093, 8.0, 10.0
18, r2qk2r/pb1npp1p/2pp1npQ/1p6/3PP3/2N2P2/PPP1N1PP/R3KB1R w KQkq - 1 10, 16, 5.741080037762929, 6.0, 8.0
19, r2qk2r/pb1npp1p/2pp1npQ/1p6/3PP3/P1N2P2/1PP1N1PP/R3KB1R b KQkq - 0 10, 24, 8.717797887081348, 7.0, 12.0
20, r2qk2r/pb1n1p1p/2pp1npQ/1p2p3/3PP3/P1N2P2/1PP1N1PP/R3KB1R w KQkq e6 0 11, 26, 9.077444574328174, 5.0, 6.0
21, r2qk2r/pb1n1p1p/2pp1npQ/1p2p3/3PP3/P1N2P2/1PP1N1PP/2KR1B1R b kq - 1 11, 55, 21.004761364985796, 20.0, 37.0
22, r3k2r/pb1nqp1p/2pp1npQ/1p2p3/3PP3/P1N2P2/1PP1N1PP/2KR1B1R w kq - 2 12, 50, 19.88969582472291, 15.0, 34.0
23, r3k2r/pb1nqp1p/2pp1npQ/1p2p3/3PP3/P1N2P2/1PP1N1PP/1K1R1B1R b kq - 3 12, 26, 10.307278981380101, 2.0, 15.0
24, r3k2r/1b1nqp1p/p1pp1npQ/1p2p3/3PP3/P1N2P2/1PP1N1PP/1K1R1B1R w kq - 0 13, 25, 10.533755265810953, 3.0, 19.0
25, r3k2r/1b1nqp1p/p1pp1npQ/1p2p3/3PP3/P1N2P2/1PP3PP/1KNR1B1R b kq - 1 13, 74, 27.683930356797244, 25.0, 44.0
26, 2kr3r/1b1nqp1p/p1pp1npQ/1p2p3/3PP3/P1N2P2/1PP3PP/1KNR1B1R w - - 2 14, 21, 7.730459236035076, 9.0, 12.0
27, 2kr3r/1b1nqp1p/p1pp1npQ/1p2p3/3PP3/PNN2P2/1PP3PP/1K1R1B1R b - - 3 14, 42, 15.197368193210297, 9.0, 17.0
28, 2kr3r/1b1nqp1p/p1pp1npQ/1p6/3pP3/PNN2P2/1PP3PP/1K1R1B1R w - - 0 15, 374, 146.6606968482013, 186.0, 260.0
29, 2kr3r/1b1nqp1p/p1pp1npQ/1p6/3RP3/PNN2P2/1PP3PP/1K3B1R b - - 0 15, 13, 4.69041575982343, 2.0, 3.0
30, 2kr3r/1b1nqp1p/p2p1npQ/1pp5/3RP3/PNN2P2/1PP3PP/1K3B1R w - - 0 16, 409, 174.0719391516048, 101.0, 344.0
31, 2kr3r/1b1nqp1p/p2p1npQ/1pp5/4P3/PNN2P2/1PP3PP/1K1R1B1R b - - 1 16, 41, 15.104966070799364, 14.0, 24.0
32, 2kr3r/1b2qp1p/pn1p1npQ/1pp5/4P3/PNN2P2/1PP3PP/1K1R1B1R w - - 2 17, 33, 12.457929201917949, 15.0, 20.0
33, 2kr3r/1b2qp1p/pn1p1npQ/1pp5/4P3/PNN2PP1/1PP4P/1K1R1B1R b - - 0 17, 50, 17.453939383417143, 12.0, 23.0
34, 1k1r3r/1b2qp1p/pn1p1npQ/1pp5/4P3/PNN2PP1/1PP4P/1K1R1B1R w - - 1 18, 34, 12.563439019631527, 13.0, 18.0
35, 1k1r3r/1b2qp1p/pn1p1npQ/Npp5/4P3/P1N2PP1/1PP4P/1K1R1B1R b - - 2 18, 95, 39.02101997641784, 10.0, 65.0
36, bk1r3r/4qp1p/pn1p1npQ/Npp5/4P3/P1N2PP1/1PP4P/1K1R1B1R w - - 3 19, 37, 16.764247671756703, 6.0, 34.0
37, bk1r3r/4qp1p/pn1p1npQ/Npp5/4P3/P1N2PPB/1PP4P/1K1R3R b - - 4 19, 92, 32.4468796650772, 16.0, 27.0
38, bk1r3r/4qp1p/pn3npQ/Nppp4/4P3/P1N2PPB/1PP4P/1K1R3R w - - 0 20, 74, 28.436596139481956, 4.0, 10.0
39, bk1r3r/4qp1p/pn3np1/Nppp4/4PQ2/P1N2PPB/1PP4P/1K1R3R b - - 1 20, 15342, 6025.983969444326, 109.0, 161.0
40, b2r3r/k3qp1p/pn3np1/Nppp4/4PQ2/P1N2PPB/1PP4P/1K1R3R w - - 2 21, 62, 21.766028576660464, 11.0, 18.0
41, b2r3r/k3qp1p/pn3np1/Nppp4/4PQ2/P1N2PPB/1PP4P/1K1RR3 b - - 3 21, 308, 112.51417688451532, 55.0, 135.0
42, b2r3r/k3qp1p/pn3np1/Npp5/3pPQ2/P1N2PPB/1PP4P/1K1RR3 w - - 0 22, 277, 121.63453456975121, 46.0, 238.0
43, b2r3r/k3qp1p/pn3np1/NppN4/3pPQ2/P4PPB/1PP4P/1K1RR3 b - - 1 22, 494, 174.15119867517421, 157.0, 169.0
44, b2r3r/k3qp1p/p4np1/Nppn4/3pPQ2/P4PPB/1PP4P/1K1RR3 w - - 0 23, 472, 206.97188214827636, 63.0, 400.0
45, b2r3r/k3qp1p/p4np1/NppP4/3p1Q2/P4PPB/1PP4P/1K1RR3 b - - 0 23, 1188, 396.29857430982514, 137.0, 247.0
46, b2r3r/k4p1p/p2q1np1/NppP4/3p1Q2/P4PPB/1PP4P/1K1RR3 w - - 1 24, 188, 68.21260880511755, 76.0, 101.0
47, b2r3r/k4p1p/p2q1np1/NppP4/3R1Q2/P4PPB/1PP4P/1K2R3 b - - 0 24, 46, 16.797618878876854, 3.0, 3.0
48, b2r3r/k4p1p/p2q1np1/Np1P4/3p1Q2/P4PPB/1PP4P/1K2R3 w - - 0 25, 628, 238.3362330825928, 48.0, 269.0
49, b2r3r/k3Rp1p/p2q1np1/Np1P4/3p1Q2/P4PPB/1PP4P/1K6 b - - 1 25, 15222, 7356.982642360929, 0.0, 14808.0
50, b2r3r/4Rp1p/pk1q1np1/Np1P4/3p1Q2/P4PPB/1PP4P/1K6 w - - 2 26, 623, 237.4637656569945, 33.0, 56.0
51, b2r3r/4Rp1p/pk1q1np1/Np1P4/3Q4/P4PPB/1PP4P/1K6 b - - 0 26, 431, 215.5, 215.5, 215.5
52, b2r3r/4Rp1p/p2q1np1/kp1P4/3Q4/P4PPB/1PP4P/1K6 w - - 0 27, 608, 236.09625155855397, 36.0, 296.0
53, b2r3r/4Rp1p/p2q1np1/kp1P4/1P1Q4/P4PPB/2P4P/1K6 b - b3 0 27, 15209, 7604.5, 7604.5, 7604.5
54, b2r3r/4Rp1p/p2q1np1/1p1P4/kP1Q4/P4PPB/2P4P/1K6 w - - 1 28, 632, 267.0562487566992, 22.0, 444.0
55, b2r3r/4Rp1p/p2q1np1/1p1P4/kP6/P1Q2PPB/2P4P/1K6 b - - 2 28, 15188, 6075.199999999999, 0.0, 0.0
56, b2r3r/4Rp1p/p4np1/1p1q4/kP6/P1Q2PPB/2P4P/1K6 w - - 0 29, 379, 132.42507315459562, 41.0, 41.0
57, b2r3r/R4p1p/p4np1/1p1q4/kP6/P1Q2PPB/2P4P/1K6 b - - 1 29, 15223, 6089.2, 0.0, 0.0
58, 3r3r/Rb3p1p/p4np1/1p1q4/kP6/P1Q2PPB/2P4P/1K6 w - - 2 30, 502, 211.1998106059757, 67.0, 373.0
59, 3r3r/1R3p1p/p4np1/1p1q4/kP6/P1Q2PPB/2P4P/1K6 b - - 0 30, 456, 167.14592426978288, 148.0, 259.0
60, 3r3r/1R3p1p/p4np1/1p6/kPq5/P1Q2PPB/2P4P/1K6 w - - 1 31, 830, 279.11173389880975, 83.0, 115.0
61, 3r3r/1R3p1p/p4Qp1/1p6/kPq5/P4PPB/2P4P/1K6 b - - 0 31, 15241, 5944.390007393526, 464.0, 525.0
62, 3r3r/1R3p1p/p4Qp1/1p6/1Pq5/k4PPB/2P4P/1K6 w - - 0 32, 15558, 6101.85674692548, 273.0, 439.0
63, 3r3r/1R3p1p/Q5p1/1p6/1Pq5/k4PPB/2P4P/1K6 b - - 0 32, 0, 0.0, 0.0, 0.0
64, 3r3r/1R3p1p/Q5p1/1p6/1kq5/5PPB/2P4P/1K6 w - - 0 33, 751, 286.717282353192, 332.0, 487.0
65, 3r3r/1R3p1p/Q5p1/1p6/1kq5/2P2PPB/7P/1K6 b - - 0 33, 15092, 7441.752897503383, 7334.5, 14774.75
66, 3r3r/1R3p1p/Q5p1/1p6/2q5/2k2PPB/7P/1K6 w - - 0 34, 15575, 7368.129629695721, 835.0, 14768.0
67, 3r3r/1R3p1p/6p1/1p6/2q5/2k2PPB/7P/QK6 b - - 1 34, 15300, 6480.856786529077, 302.5, 3963.75
68, 3r3r/1R3p1p/6p1/1p6/2q5/5PPB/3k3P/QK6 w - - 2 35, 1085, 388.5458016759414, 70.0, 76.0
69, 3r3r/1R3p1p/6p1/1p6/2q5/5PPB/1Q1k3P/1K6 b - - 3 35, 15036, 7335.350200229025, 0.0, 14910.0
70, 3r3r/1R3p1p/6p1/1p6/2q5/5PPB/1Q5P/1K1k4 w - - 4 36, 15589, 5763.654930684175, 1259.0, 2716.0
71, 3r3r/1R3p1p/6p1/1p6/2q5/5PP1/1Q5P/1K1k1B2 b - - 5 36, 15021, 7285.776071222612, 385.0, 14952.0
72, 7r/1R3p1p/6p1/1p6/2q5/5PP1/1Q1r3P/1K1k1B2 w - - 6 37, 15633, 6051.797650285409, 491.0, 812.0
73, 7r/3R1p1p/6p1/1p6/2q5/5PP1/1Q1r3P/1K1k1B2 b - - 7 37, 14992, 5996.8, 0.0, 0.0
74, 7r/3r1p1p/6p1/1p6/2q5/5PP1/1Q5P/1K1k1B2 w - - 0 38, 4087, 1679.4884221095424, 354.0, 2751.0
75, 7r/3r1p1p/6p1/1p6/2B5/5PP1/1Q5P/1K1k4 b - - 0 38, 15027, 6010.8, 0.0, 0.0
