Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1, 32, 10.583005244258363, 6.0, 8.0
2, rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2, 46, 16.773789077009404, 11.0, 21.0
3, rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2, 70, 27.313000567495326, 30.0, 50.0
4, rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3, 37, 12.905812643921342, 8.0, 12.0
5, rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 3, 32, 12.221292893961751, 5.0, 17.0
6, rn1qkbnr/ppp2ppp/3p4/4p3/3PP1b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4, 46, 18.08203528367313, 11.0, 31.0
7, rn1qkbnr/ppp2ppp/3p4/4P3/4P1b1/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4, 30, 12.231107881136523, 8.0, 23.0
8, rn1qkbnr/ppp2ppp/3p4/4P3/4P3/5b2/PPP2PPP/RNBQKB1R w KQkq - 0 5, 452, 202.5128144093603, 33.0, 389.0
9, rn1qkbnr/ppp2ppp/3p4/4P3/4P3/5Q2/PPP2PPP/RNB1KB1R b KQkq - 0 5, 178, 75.09620496403264, 47.0, 144.0
10, rn1qkbnr/ppp2ppp/8/4p3/4P3/5Q2/PPP2PPP/RNB1KB1R w KQkq - 0 6, 52, 23.731835158706122, 4.0, 46.0
11, rn1qkbnr/ppp2ppp/8/4p3/2B1P3/5Q2/PPP2PPP/RNB1K2R b KQkq - 1 6, 356, 136.86402010755054, 5.0, 92.0
12, rn1qkb1r/ppp2ppp/5n2/4p3/2B1P3/5Q2/PPP2PPP/RNB1K2R w KQkq - 2 7, 155, 57.50617358162513, 5.0, 8.0
13, rn1qkb1r/ppp2ppp/5n2/4p3/2B1P3/1Q6/PPP2PPP/RNB1K2R b KQkq - 3 7, 111, 39.75424505634587, 36.0, 51.0
14, rn2kb1r/ppp1qppp/5n2/4p3/2B1P3/1Q6/PPP2PPP/RNB1K2R w KQkq - 4 8, 129, 54.51091633792262, 20.0, 101.0
15, rn2kb1r/ppp1qppp/5n2/4p3/2B1P3/1QN5/PPP2PPP/R1B1K2R b KQkq - 5 8, 115, 39.95497465898333, 31.0, 49.0
16, rn2kb1r/pp2qppp/2p2n2/4p3/2B1P3/1QN5/PPP2PPP/R1B1K2R w KQkq - 0 9, 101, 43.920837879075115, 14.0, 82.0
17, rn2kb1r/pp2qppp/2p2n2/4p1B1/2B1P3/1QN5/PPP2PPP/R3K2R b KQkq - 1 9, 90, 30.727186659373814, 25.0, 30.0
18, rn2kb1r/p3qppp/2p2n2/1p2p1B1/2B1P3/1QN5/PPP2PPP/R3K2R w KQkq b6 0 10, 386, 147.8128546507373, 14.0, 108.0
19, rn2kb1r/p3qppp/2p2n2/1N2p1B1/2B1P3/1Q6/PPP2PPP/R3K2R b KQkq - 0 10, 187, 67.19940475926852, 27.0, 36.0
20, rn2kb1r/p3qppp/5n2/1p2p1B1/2B1P3/1Q6/PPP2PPP/R3K2R w KQkq - 0 11, 767, 289.72773426097825, 57.0, 262.0
21, rn2kb1r/p3qppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/R3K2R b KQkq - 0 11, 258, 101.4869449732329, 65.0, 173.0
22, r3kb1r/p2nqppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/R3K2R w KQkq - 1 12, 526, 182.40548237374884, 97.0, 158.0
23, r3kb1r/p2nqppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/2KR3R b kq - 2 12, 97, 37.16665171898055, 24.0, 60.0
24, 3rkb1r/p2nqppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/2KR3R w k - 3 13, 199, 72.37513385134427, 27.0, 41.0
25, 3rkb1r/p2Rqppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/2K4R b k - 0 13, 14730, 7204.453472679243, 45.0, 14703.0
26, 4kb1r/p2rqppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/2K4R w k - 0 14, 428, 151.80171277031098, 67.0, 96.0
27, 4kb1r/p2rqppp/5n2/1B2p1B1/4P3/1Q6/PPP2PPP/2KR4 b k - 1 14, 77, 27.63041802072491, 21.0, 26.0
28, 4kb1r/p2r1ppp/4qn2/1B2p1B1/4P3/1Q6/PPP2PPP/2KR4 w k - 2 15, 309, 114.55409202643092, 116.0, 179.0
29, 4kb1r/p2B1ppp/4qn2/4p1B1/4P3/1Q6/PPP2PPP/2KR4 b k - 0 15, 14594, 6319.387371415049, 0.0, 3648.5
30, 4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4 w k - 0 16, 15300, 6038.647186249582, 410.0, 433.0
31, 1Q2kb1r/p2n1ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4 b k - 1 16, 0, 0.0, 0.0, 0.0
32, 1n2kb1r/p4ppp/4q3/4p1B1/4P3/8/PPP2PPP/2KR4 w k - 0 17, 47, 17.24818831066034, 12.0, 20.0
