Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1, 26, 9.282241108697834, 5.0, 9.0
2, rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2, 26, 9.495261976375376, 8.0, 15.0
3, rnbqkbnr/pp1ppppp/8/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2, 16, 6.046486583132389, 7.0, 10.0
4, r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3, 28, 12.737346662472527, 6.0, 27.0
5, r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3, 16, 5.2687759489277965, 3.0, 3.0
6, r1bqkbnr/pp1p1ppp/2n5/2p1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq e6 0 4, 16, 5.571355310873647, 4.0, 6.0
7, r1bqkbnr/pp1p1ppp/2n5/2p1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4, 14, 5.865151319446072, 1.0, 10.0
8, r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5, 17, 5.844655678480984, 5.0, 7.0
9, r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5, 106, 40.157689176545006, 5.0, 14.0
10, r1bqkbnr/pp1p1p2/2n3pp/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 6, 15, 6.118823416311342, 6.0, 12.0
11, r1bqkbnr/pp1p1p2/2n3pp/2p1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq - 0 6, 27, 10.518555033843766, 4.0, 16.0
12, r1bqkbnr/pp3p2/2np2pp/2p1p3/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq - 0 7, 14, 5.67097875150313, 3.0, 10.0
13, r1bqkbnr/pp3p2/2np2pp/2p1p3/2B1P3/2NP3P/PPP2PPN/R1BQK2R b KQkq - 1 7, 20, 7.631513611335565, 10.0, 12.0
14, r1bqk1nr/pp3pb1/2np2pp/2p1p3/2B1P3/2NP3P/PPP2PPN/R1BQK2R w KQkq - 2 8, 17, 6.615134163416491, 1.0, 8.0
15, r1bqk1nr/pp3pb1/2np2pp/2p1p3/2B1P3/2NP3P/PPP2PPN/R1BQ1RK1 b kq - 3 8, 64, 22.657449106199046, 18.0, 31.0
