Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3 0 1, 25, 8.822698000045111, 7.0, 9.0
2, rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2, 21, 8.034923770640265, 1.0, 4.0
3, rnbqkbnr/pppp1ppp/4p3/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2, 8, 2.5768197453450252, 0.0, 0.0
4, rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq d6 0 3, 27, 9.108238029388561, 2.0, 3.0
5, rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq d3 0 3, 15, 5.276362383309167, 6.0, 6.0
6, rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 1 4, 25, 8.280096617793781, 6.0, 7.0
7, rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 2 4, 21, 7.3484692283495345, 6.0, 9.0
8, rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 3 5, 17, 5.642694391866354, 0.0, 0.0
9, rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 4 5, 15, 6.118823416311342, 6.0, 12.0
10, rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 5 6, 21, 6.829348431585549, 3.0, 5.0
11, rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 6, 14, 4.621688003316537, 3.0, 4.0
12, rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 7, 170, 64.8351756379205, 15.0, 74.0
13, rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R b KQ - 1 7, 14, 4.995998398718719, 4.0, 7.0
14, rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8, 11, 4.049691346263317, 5.0, 6.0
15, rnbq1rk1/p1p1bpp1/1p2pn1p/3P4/3P3B/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 8, 197, 79.30346776780951, 52.0, 145.0
16, rnbq1rk1/p1p1bpp1/1p2p2p/3n4/3P3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 9, 196, 81.54900367263845, 21.0, 142.0
17, rnbq1rk1/p1p1Bpp1/1p2p2p/3n4/3P4/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 9, 618, 242.49585563468915, 277.0, 443.0
18, rnb2rk1/p1p1qpp1/1p2p2p/3n4/3P4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 10, 24, 10.011992808627062, 5.0, 19.0
19, rnb2rk1/p1p1qpp1/1p2p2p/3N4/3P4/4PN2/PP3PPP/R2QKB1R b KQ - 0 10, 641, 226.30298274658244, 8.0, 15.0
20, rnb2rk1/p1p1qpp1/1p5p/3p4/3P4/4PN2/PP3PPP/R2QKB1R w KQ - 0 11, 4, 1.4966629547095764, 1.0, 2.0
21, rnb2rk1/p1p1qpp1/1p5p/3p4/3P4/4PN2/PP3PPP/2RQKB1R b K - 1 11, 31, 10.43839068055991, 4.0, 6.0
22, rn3rk1/p1p1qpp1/1p2b2p/3p4/3P4/4PN2/PP3PPP/2RQKB1R w K - 2 12, 7, 2.4979991993593593, 1.0, 2.0
23, rn3rk1/p1p1qpp1/1p2b2p/3p4/Q2P4/4PN2/PP3PPP/2R1KB1R b K - 3 12, 28, 11.009087155618309, 13.0, 20.0
24, rn3rk1/p3qpp1/1p2b2p/2pp4/Q2P4/4PN2/PP3PPP/2R1KB1R w K c6 0 13, 72, 28.85827437668441, 11.0, 48.0
25, rn3rk1/p3qpp1/1p2b2p/2pp4/3P4/Q3PN2/PP3PPP/2R1KB1R b K - 1 13, 39, 14.122322755127783, 13.0, 20.0
26, rnr3k1/p3qpp1/1p2b2p/2pp4/3P4/Q3PN2/PP3PPP/2R1KB1R w K - 2 14, 23, 8.471127433818948, 8.0, 13.0
27, rnr3k1/p3qpp1/1p2b2p/1Bpp4/3P4/Q3PN2/PP3PPP/2R1K2R b K - 3 14, 41, 14.7648230602334, 3.0, 4.0
28, rnr3k1/4qpp1/pp2b2p/1Bpp4/3P4/Q3PN2/PP3PPP/2R1K2R w K - 0 15, 53, 19.949937343260004, 14.0, 31.0
29, rnr3k1/4qpp1/pp2b2p/1BPp4/8/Q3PN2/PP3PPP/2R1K2R b K - 0 15, 22, 7.735631842325486, 5.0, 8.0
30, rnr3k1/4qpp1/p3b2p/1Bpp4/8/Q3PN2/PP3PPP/2R1K2R w K - 0 16, 44, 15.118200951171406, 5.0, 6.0
31, rnr3k1/4qpp1/p3b2p/1Bpp4/8/Q3PN2/PP3PPP/2R2RK1 b - - 1 16, 18, 6.523802572120037, 8.0, 9.0
32, 1nr3k1/r3qpp1/p3b2p/1Bpp4/8/Q3PN2/PP3PPP/2R2RK1 w - - 2 17, 522, 222.77163194626016, 28.0, 386.0
33, 1nr3k1/r3qpp1/p3b2p/2pp4/8/Q3PN2/PP2BPPP/2R2RK1 b - - 3 17, 22, 8.2365041127896, 2.0, 9.0
34, 2r3k1/r2nqpp1/p3b2p/2pp4/8/Q3PN2/PP2BPPP/2R2RK1 w - - 4 18, 28, 9.239047569960878, 3.0, 4.0
35, 2r3k1/r2nqpp1/p3b2p/2pp4/3N4/Q3P3/PP2BPPP/2R2RK1 b - - 5 18, 18, 6.2289646009589745, 6.0, 7.0
36, 2r2qk1/r2n1pp1/p3b2p/2pp4/3N4/Q3P3/PP2BPPP/2R2RK1 w - - 6 19, 69, 24.870866490735697, 16.0, 30.0
37, 2r2qk1/r2n1pp1/p3N2p/2pp4/8/Q3P3/PP2BPPP/2R2RK1 b - - 0 19, 670, 227.390061348336, 24.0, 29.0
38, 2r2qk1/r2n2p1/p3p2p/2pp4/8/Q3P3/PP2BPPP/2R2RK1 w - - 0 20, 35, 12.815615474880635, 5.0, 14.0
39, 2r2qk1/r2n2p1/p3p2p/2pp4/4P3/Q7/PP2BPPP/2R2RK1 b - - 0 20, 20, 6.740919818541086, 5.0, 7.0
40, 2r2qk1/r2n2p1/p3p2p/2p5/3pP3/Q7/PP2BPPP/2R2RK1 w - - 0 21, 84, 28.74021572639983, 13.0, 14.0
41, 2r2qk1/r2n2p1/p3p2p/2p5/3pPP2/Q7/PP2B1PP/2R2RK1 b - f3 0 21, 31, 10.781465577554844, 9.0, 13.0
42, 2r3k1/r2nq1p1/p3p2p/2p5/3pPP2/Q7/PP2B1PP/2R2RK1 w - - 1 22, 93, 33.885690195125136, 11.0, 19.0
43, 2r3k1/r2nq1p1/p3p2p/2p1P3/3p1P2/Q7/PP2B1PP/2R2RK1 b - - 0 22, 100, 33.769809001532714, 8.0, 9.0
44, 1r4k1/r2nq1p1/p3p2p/2p1P3/3p1P2/Q7/PP2B1PP/2R2RK1 w - - 1 23, 69, 23.27745690577044, 17.0, 21.0
45, 1r4k1/r2nq1p1/p3p2p/2p1P3/2Bp1P2/Q7/PP4PP/2R2RK1 b - - 2 23, 32, 12.204917041913886, 4.0, 15.0
46, 1r5k/r2nq1p1/p3p2p/2p1P3/2Bp1P2/Q7/PP4PP/2R2RK1 w - - 3 24, 106, 35.7468879764379, 21.0, 34.0
47, 1r5k/r2nq1p1/p3p2p/2p1P3/2Bp1P2/7Q/PP4PP/2R2RK1 b - - 4 24, 88, 29.136918162358903, 13.0, 22.0
48, 1r3n1k/r3q1p1/p3p2p/2p1P3/2Bp1P2/7Q/PP4PP/2R2RK1 w - - 5 25, 63, 22.366045694310827, 16.0, 21.0
49, 1r3n1k/r3q1p1/p3p2p/2p1P3/2Bp1P2/1P5Q/P5PP/2R2RK1 b - - 0 25, 50, 18.988417522268676, 4.0, 20.0
50, 1r3n1k/r3q1p1/4p2p/p1p1P3/2Bp1P2/1P5Q/P5PP/2R2RK1 w - - 0 26, 26, 8.657944328765346, 6.0, 8.0
51, 1r3n1k/r3q1p1/4p2p/p1p1PP2/2Bp4/1P5Q/P5PP/2R2RK1 b - - 0 26, 135, 52.6900370089071, 43.0, 92.0
52, 1r3n1k/r3q1p1/7p/p1p1Pp2/2Bp4/1P5Q/P5PP/2R2RK1 w - - 0 27, 65, 29.147898723578688, 8.0, 58.0
53, 1r3n1k/r3q1p1/7p/p1p1PR2/2Bp4/1P5Q/P5PP/2R3K1 b - - 0 27, 149, 56.3687856885351, 72.0, 84.0
