Position Number, FEN, Variance, Standard Deviation, MAD, IQR
1, rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3 0 1, 16, 5.238320341483518, 2.0, 4.0
2, rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2, 19, 7.605261336732617, 4.0, 13.0
3, rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 2 2, 29, 10.777754868245983, 2.0, 4.0
4, rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3, 43, 14.947909552843837, 13.0, 19.0
5, rnbqkb1r/pppppp1p/5np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3, 29, 10.796295661012623, 9.0, 18.0
6, rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 1 4, 44, 18.051038751274124, 9.0, 33.0
7, rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 2 4, 20, 8.73155198117723, 3.0, 17.0
8, rnbq1rk1/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQ - 3 5, 38, 15.594870951694341, 16.0, 31.0
9, rnbq1rk1/ppppppbp/5np1/8/2PP4/5NP1/PP2PPBP/RNBQK2R b KQ d3 0 5, 19, 6.968500556073738, 3.0, 7.0
10, rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQK2R w KQ - 0 6, 40, 17.21162397916013, 11.0, 35.0
11, rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQ - 1 6, 29, 10.669582934679312, 10.0, 15.0
12, r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQ - 2 7, 30, 11.373653766490346, 8.0, 18.0
13, r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 3 7, 26, 9.486832980505138, 11.0, 14.0
14, r1bq1rk1/pppn1pbp/3p1np1/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - e6 0 8, 32, 12.759310326189265, 1.0, 17.0
15, r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 b - e3 0 8, 17, 6.968500556073739, 1.0, 11.0
16, r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 w - - 0 9, 31, 12.734205903785284, 7.0, 23.0
17, r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 b - - 0 9, 10, 3.4871191548325386, 3.0, 3.0
18, r1b2rk1/pp1n1pbp/1qpp1np1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 w - - 1 10, 57, 19.260321908005587, 13.0, 20.0
19, r1b2rk1/pp1n1pbp/1qpp1np1/3Pp3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 b - - 0 10, 45, 16.883127672324225, 11.0, 25.0
20, r1b2rk1/pp1n1pbp/1q1p1np1/3pp3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - - 0 11, 255, 91.65893300709975, 50.0, 99.0
21, r1b2rk1/pp1n1pbp/1q1p1np1/3Pp3/4P3/2N2NPP/PP3PB1/R1BQ1RK1 b - - 0 11, 51, 17.31357848626332, 5.0, 6.0
22, r1b2rk1/pp3pbp/1q1p1np1/2nPp3/4P3/2N2NPP/PP3PB1/R1BQ1RK1 w - - 1 12, 20, 8.039900496896712, 4.0, 14.0
23, r1b2rk1/pp3pbp/1q1p1np1/2nPp3/4P3/2N3PP/PP3PB1/R1BQNRK1 b - - 2 12, 19, 6.968500556073738, 3.0, 7.0
24, r4rk1/pp1b1pbp/1q1p1np1/2nPp3/4P3/2N3PP/PP3PB1/R1BQNRK1 w - - 3 13, 55, 17.41952927033334, 2.0, 3.0
25, r4rk1/pp1b1pbp/1q1p1np1/2nPp3/4P3/2NN2PP/PP3PB1/R1BQ1RK1 b - - 4 13, 42, 16.438978070427616, 15.0, 30.0
26, r4rk1/pp1b1pbp/1q1p1np1/3Pp3/4P3/2Nn2PP/PP3PB1/R1BQ1RK1 w - - 0 14, 560, 202.20128585149996, 24.0, 33.0
27, r4rk1/pp1b1pbp/1q1p1np1/3Pp3/4P3/2NQ2PP/PP3PB1/R1B2RK1 b - - 0 14, 15, 5.607138307550474, 6.0, 9.0
28, r1r3k1/pp1b1pbp/1q1p1np1/3Pp3/4P3/2NQ2PP/PP3PB1/R1B2RK1 w - - 1 15, 38, 12.626955294131678, 7.0, 10.0
29, r1r3k1/pp1b1pbp/1q1p1np1/3Pp3/4P3/2NQ2PP/PP3PB1/1RB2RK1 b - - 2 15, 16, 6.086049621881176, 5.0, 10.0
30, r1r3k1/pp1b1pbp/1q1p2p1/3Pp2n/4P3/2NQ2PP/PP3PB1/1RB2RK1 w - - 3 16, 56, 18.956792977716457, 5.0, 7.0
31, r1r3k1/pp1b1pbp/1q1p2p1/3Pp2n/4P3/2NQB1PP/PP3PB1/1R3RK1 b - - 4 16, 45, 17.511139311878026, 15.0, 31.0
32, r1r3k1/pp1b1pbp/3p2p1/3Pp2n/1q2P3/2NQB1PP/PP3PB1/1R3RK1 w - - 5 17, 30, 12.563439019631527, 7.0, 23.0
33, r1r3k1/pp1b1pbp/3p2p1/3Pp2n/1q2P3/2N1B1PP/PP2QPB1/1R3RK1 b - - 6 17, 40, 14.178857499812882, 3.0, 5.0
34, r5k1/pp1b1pbp/3p2p1/3Pp2n/1qr1P3/2N1B1PP/PP2QPB1/1R3RK1 w - - 7 18, 20, 7.19444229944198, 3.0, 7.0
35, r5k1/pp1b1pbp/3p2p1/3Pp2n/1qr1P3/2N1B1PP/PP2QPB1/1RR3K1 b - - 8 18, 54, 19.75246820020222, 15.0, 28.0
36, 2r3k1/pp1b1pbp/3p2p1/3Pp2n/1qr1P3/2N1B1PP/PP2QPB1/1RR3K1 w - - 9 19, 67, 21.84856974723975, 9.0, 11.0
37, 2r3k1/pp1b1pbp/3p2p1/3Pp2n/1qr1P3/2N1B1PP/PP2QPBK/1RR5 b - - 10 19, 41, 15.704776343520464, 14.0, 27.0
38, 2r3k1/pp1b2bp/3p2p1/3Ppp1n/1qr1P3/2N1B1PP/PP2QPBK/1RR5 w - f6 0 20, 110, 40.57782645731533, 47.0, 62.0
39, 2r3k1/pp1b2bp/3p2p1/3PpP1n/1qr5/2N1B1PP/PP2QPBK/1RR5 b - - 0 20, 231, 79.43450132027016, 28.0, 39.0
40, 2r3k1/pp4bp/3p2p1/3Ppb1n/1qr5/2N1B1PP/PP2QPBK/1RR5 w - - 0 21, 120, 49.60806386062653, 53.0, 101.0
41, 2r3k1/pp4bp/3p2p1/3Ppb1n/1qr5/2N1B1PP/PP2QPBK/R1R5 b - - 1 21, 158, 62.99396796519489, 68.0, 121.0
42, 2r3k1/pp4bp/3p2p1/3Ppb2/1qr2n2/2N1B1PP/PP2QPBK/R1R5 w - - 2 22, 475, 166.17147769698624, 174.0, 208.0
43, 2r3k1/pp4bp/3p2p1/3Ppb2/1qr2P2/2N1B2P/PP2QPBK/R1R5 b - - 0 22, 299, 105.30147197451706, 45.0, 51.0
44, 2r3k1/pp4bp/3p2p1/3P1b2/1qr2p2/2N1B2P/PP2QPBK/R1R5 w - - 0 23, 465, 171.2371455029545, 192.0, 238.0
45, 2r3k1/pp4bp/3p2p1/3P1b2/1qr2p2/2N4P/PP1BQPBK/R1R5 b - - 1 23, 488, 166.2123942430287, 116.0, 194.0
46, 2r3k1/pp4bp/3p2p1/3P1b2/2r2p2/2N4P/Pq1BQPBK/R1R5 w - - 0 24, 296, 106.8932177455614, 109.0, 141.0
47, 2r3k1/pp4bp/3p2p1/3P1b2/2r2p2/2N4P/Pq1BQPBK/1RR5 b - - 1 24, 383, 136.79678358791918, 129.0, 175.0
48, 2r3k1/pp4bp/3p2p1/3P1b2/2r5/2N2p1P/Pq1BQPBK/1RR5 w - - 0 25, 605, 218.05045287731002, 95.0, 110.0
49, 2r3k1/pp4bp/3p2p1/3P1b2/2r5/2N2p1P/PR1BQPBK/2R5 b - - 0 25, 993, 375.05434272915704, 22.0, 40.0
50, 2r3k1/pp4bp/3p2p1/3P1b2/2r5/2N4P/PR1BpPBK/2R5 w - - 0 26, 70, 23.440136518373777, 14.0, 16.0
51, 2r3k1/pp4bp/3p2p1/3P1b2/2r5/1RN4P/P2BpPBK/2R5 b - - 1 26, 369, 159.43349710772827, 6.0, 274.0
52, 2r3k1/pp4bp/3p2p1/3P1b2/3r4/1RN4P/P2BpPBK/2R5 w - - 2 27, 114, 43.756599502246516, 12.0, 58.0
53, 2r3k1/pp4bp/3p2p1/3P1b2/3r4/1RN4P/P3pPBK/2R1B3 b - - 3 27, 455, 172.6719432913176, 177.0, 273.0
54, 2r3k1/pp5p/3p2p1/3Pbb2/3r4/1RN4P/P3pPBK/2R1B3 w - - 4 28, 142, 62.23075338340897, 23.0, 71.0
55, 2r3k1/pp5p/3p2p1/3Pbb2/3r4/1RN4P/P3pPB1/2R1B1K1 b - - 5 28, 436, 165.2689928570995, 201.0, 264.0
56, 2r3k1/pp5p/3p2p1/3P1b2/3r1b2/1RN4P/P3pPB1/2R1B1K1 w - - 6 29, 218, 82.62590392848963, 14.0, 31.0
57, 2r3k1/pp5p/3p2p1/3P1b2/3r1b2/1R5P/P3NPB1/2R1B1K1 b - - 0 29, 842, 326.0812168770228, 35.0, 64.0
58, 6k1/pp5p/3p2p1/3P1b2/3r1b2/1R5P/P3NPB1/2r1B1K1 w - - 0 30, 274, 98.82995497317603, 108.0, 130.0
59, 6k1/pp5p/3p2p1/3P1b2/3N1b2/1R5P/P4PB1/2r1B1K1 b - - 0 30, 446, 162.11798172935661, 11.0, 20.0
60, 6k1/pp5p/3p2p1/3P1b2/3N1b2/1R5P/P4PB1/4r1K1 w - - 0 31, 0, 0.0, 0.0, 0.0
61, 6k1/pp5p/3p2p1/3P1b2/3N1b2/1R5P/P4P2/4rBK1 b - - 1 31, 317, 130.16696969661697, 77.0, 245.0
62, 6k1/pp5p/3p2p1/3P4/3Nbb2/1R5P/P4P2/4rBK1 w - - 2 32, 66, 23.16031087874254, 15.0, 29.0
