Processing window size 3...
Building nouns list from Inaugural corpus...
Word: government, Uniqueness Value: 598
Word: people, Uniqueness Value: 594
Word: world, Uniqueness Value: 346
Word: states, Uniqueness Value: 332
Word: nation, Uniqueness Value: 330
Word: country, Uniqueness Value: 322
Word: peace, Uniqueness Value: 252
Word: citizens, Uniqueness Value: 246
Word: power, Uniqueness Value: 241
Word: america, Uniqueness Value: 240
Word: time, Uniqueness Value: 223
Word: constitution, Uniqueness Value: 209
Word: nations, Uniqueness Value: 199
Word: union, Uniqueness Value: 191
Word: war, Uniqueness Value: 185
Word: freedom, Uniqueness Value: 184
Word: united, Uniqueness Value: 171
Word: men, Uniqueness Value: 149
Word: years, Uniqueness Value: 143
Word: life, Uniqueness Value: 140
Word: justice, Uniqueness Value: 139
Word: spirit, Uniqueness Value: 139
Word: rights, Uniqueness Value: 138
Word: law, Uniqueness Value: 136
Word: congress, Uniqueness Value: 130
Word: laws, Uniqueness Value: 130
Word: duty, Uniqueness Value: 120
Word: liberty, Uniqueness Value: 118
Word: interests, Uniqueness Value: 115
Word: today, Uniqueness Value: 112
Word: state, Uniqueness Value: 110
Word: god, Uniqueness Value: 110
Word: s, Uniqueness Value: 108
Word: history, Uniqueness Value: 106
Word: man, Uniqueness Value: 102
Word: powers, Uniqueness Value: 101
Word: day, Uniqueness Value: 98
Word: policy, Uniqueness Value: 97
Word: president, Uniqueness Value: 96
Word: principles, Uniqueness Value: 96
Word: part, Uniqueness Value: 96
Word: right, Uniqueness Value: 93
Word: duties, Uniqueness Value: 92
Word: administration, Uniqueness Value: 91
Word: progress, Uniqueness Value: 91
Word: system, Uniqueness Value: 90
Word: executive, Uniqueness Value: 90
Word: confidence, Uniqueness Value: 88
Word: service, Uniqueness Value: 87
Word: work, Uniqueness Value: 87
Word: way, Uniqueness Value: 86
Word: faith, Uniqueness Value: 86
Word: americans, Uniqueness Value: 84
Word: purpose, Uniqueness Value: 83
Word: party, Uniqueness Value: 82
Word: strength, Uniqueness Value: 80
Word: hope, Uniqueness Value: 79
Word: institutions, Uniqueness Value: 77
Word: interest, Uniqueness Value: 77
Word: others, Uniqueness Value: 76
Word: office, Uniqueness Value: 75
Word: force, Uniqueness Value: 75
Word: things, Uniqueness Value: 74
Word: land, Uniqueness Value: 73
Word: home, Uniqueness Value: 72
Word: democracy, Uniqueness Value: 71
Word: prosperity, Uniqueness Value: 70
Word: action, Uniqueness Value: 69
Word: place, Uniqueness Value: 68
Word: future, Uniqueness Value: 67
Word: security, Uniqueness Value: 67
Word: order, Uniqueness Value: 66
